id,nombre,precio,stock
297,Tablet,412.13,15
298,Notebook,574.63,78
299,Funda,222.92,35
300,Funda,445.74,6
301,Celular,513.15,1
302,Celular,436.39,8
303,Cargador,462.55,82
304,Tablet,659.2,11
305,Funda,728.03,78
306,Notebook,468.32,80
307,Notebook,390.6,92
308,Cargador,603.49,39
309,Celular,182.91,6
310,Funda,271.31,26
311,Tablet,261.14,73
312,Cargador,509.98,76
313,Tablet,22.75,64
314,Tablet,798.13,34
315,Celular,445.13,26
316,Funda,146.09,82
317,Notebook,140.43,38
318,Cargador,190.53,91
319,Notebook,133.63,8
320,Funda,701.3,18
321,Celular,419.52,24
322,Cargador,264.66,5
323,Tablet,205.86,55
324,Tablet,421.64,45
325,Funda,526.02,2
326,Funda,714.12,24
327,Notebook,616.53,47
328,Celular,301.45,57
329,Tablet,286.51,39
330,Cargador,347.75,79
331,Notebook,22.87,37
332,Tablet,184.45,51
333,Notebook,414.06,9
334,Celular,632.77,37
335,Celular,156.17,8
336,Funda,441.2,69
337,Cargador,640.57,15
338,Celular,267.62,56
339,Celular,149.57,66
340,Celular,439.73,37
341,Notebook,576.86,22
342,Celular,209.2,75
343,Notebook,567.26,18
344,Funda,243.24,6
345,Tablet,256.27,77
346,Notebook,523.63,71
347,Celular,337.9,34
348,Cargador,660.61,40
349,Notebook,278.35,52
350,Funda,30.02,24
351,Cargador,469.31,49
352,Cargador,531.84,6
353,Cargador,516.75,32
354,Notebook,13.66,66
355,Cargador,483.22,12
356,Tablet,352.58,58
357,Celular,45.02,86
358,Notebook,559.28,32
359,Tablet,426.07,48
360,Funda,289.2,45
361,Celular,514.37,55
362,Cargador,662.3,32
363,Funda,718.06,26
364,Funda,519.66,15
365,Celular,751.62,59
366,Tablet,658.92,56
367,Celular,131.64,30
368,Notebook,98.4,66
369,Cargador,429.68,27
370,Cargador,618.17,93
371,Celular,618.59,20
372,Notebook,139.25,48
373,Notebook,674.41,38
374,Notebook,506.06,22
375,Notebook,684.67,64
376,Celular,685.63,61
377,Funda,769.43,84
378,Notebook,131.8,87
379,Funda,47.09,67
380,Tablet,421.09,69
381,Celular,558.8,66
382,Tablet,30.7,7
383,Celular,336.93,15
384,Funda,60.44,25
385,Tablet,664.29,94
386,Cargador,421.34,62
387,Tablet,748.12,27
388,Tablet,107.68,93
389,Celular,544.66,18
390,Funda,209.17,90
391,Tablet,366.36,84
392,Notebook,595.22,73
393,Celular,310.32,79
394,Tablet,531.83,36
395,Celular,477.39,0
396,Notebook,239.04,12
397,Notebook,495.34,23
398,Cargador,424.3,97
399,Funda,67.81,9
400,Tablet,710.44,46
401,Notebook,689.92,86
402,Funda,661.95,75
403,Notebook,133.81,74
404,Cargador,787.49,5
405,Celular,560.08,69
406,Funda,452.91,42
407,Cargador,154.51,3
408,Celular,751.09,33
409,Funda,580.12,99
410,Celular,175.61,76
411,Funda,99.55,20
412,Notebook,293.19,57
413,Notebook,224.21,1
414,Funda,727.44,66
415,Celular,403.38,79
416,Celular,776.31,99
417,Funda,785.12,77
418,Celular,262.68,61
419,Cargador,37.58,77
420,Notebook,12.72,78
421,Notebook,315.02,85
422,Funda,260.53,50
423,Cargador,278.48,85
424,Funda,194.06,16
425,Cargador,376.17,1
426,Cargador,589.25,21
427,Funda,294.85,57
428,Notebook,723.55,22
429,Cargador,484.76,16
430,Tablet,96.91,67
431,Funda,144.55,37
432,Funda,54.88,60
433,Cargador,155.3,78
434,Celular,361.59,80
435,Celular,151.78,90
436,Celular,635.92,0
437,Celular,111.46,37
438,Celular,341.0,76
439,Notebook,541.07,80
440,Celular,638.19,81
441,Tablet,738.82,7
442,Celular,510.62,60
443,Cargador,633.33,92
444,Notebook,253.49,23
445,Notebook,87.02,12
446,Tablet,705.27,50
447,Tablet,727.77,15
448,Cargador,477.17,63
449,Cargador,694.6,8
450,Cargador,528.92,2
451,Tablet,706.99,42
452,Cargador,199.21,17
453,Cargador,744.16,15
454,Cargador,462.46,50
455,Tablet,104.55,25
456,Cargador,500.77,63
457,Notebook,279.88,51
458,Funda,712.42,54
459,Notebook,741.18,27
460,Celular,743.12,44
461,Funda,182.11,58
462,Funda,549.55,79
463,Celular,581.02,4
464,Notebook,251.38,11
465,Cargador,323.44,36
466,Celular,217.2,21
467,Funda,365.06,92
468,Notebook,436.82,9
469,Funda,77.09,90
470,Celular,54.54,21
471,Cargador,396.89,12
472,Funda,428.01,45
473,Celular,191.81,97
474,Funda,291.68,28
475,Tablet,530.45,39
476,Cargador,39.73,2
477,Funda,516.38,47
478,Cargador,778.66,70
479,Notebook,271.67,50
480,Cargador,311.94,18
481,Notebook,786.72,91
482,Funda,32.09,92
483,Cargador,539.35,36
484,Notebook,504.79,82
485,Cargador,46.63,73
486,Tablet,505.91,56
487,Funda,527.79,65
488,Funda,212.24,4
489,Celular,526.54,47
490,Celular,290.91,38
491,Funda,756.55,79
492,Celular,227.83,75
493,Tablet,722.57,18
494,Celular,470.88,49
495,Cargador,560.34,63
496,Tablet,799.0,70
497,Cargador,775.88,54
498,Cargador,72.94,42
499,Notebook,223.41,69
500,Funda,22.46,41
501,Cargador,644.17,20
502,Cargador,746.52,16
503,Cargador,436.02,0
504,Cargador,551.24,39
505,Notebook,159.0,67
506,Celular,759.0,35
507,Cargador,791.51,21
508,Tablet,200.44,86
509,Cargador,747.61,51
510,Celular,793.55,90
511,Cargador,71.53,64
512,Celular,423.04,3
513,Celular,794.14,8
514,Notebook,652.62,59
515,Funda,431.28,1
516,Notebook,354.67,9
517,Tablet,97.62,61
518,Cargador,738.47,24
519,Notebook,421.17,37
520,Notebook,168.42,95
521,Notebook,221.0,70
522,Tablet,211.44,51
523,Celular,750.58,82
524,Funda,199.75,83
525,Funda,192.4,73
526,Celular,769.55,5
527,Notebook,233.1,57
528,Tablet,188.46,18
529,Notebook,704.24,45
530,Notebook,327.87,62
531,Celular,170.52,86
532,Funda,331.09,78
533,Cargador,99.22,86
534,Notebook,539.26,66
535,Celular,600.19,50
536,Tablet,108.03,21
537,Cargador,153.37,93
538,Cargador,767.93,72
539,Tablet,241.92,70
540,Funda,298.54,76
541,Funda,110.29,80
542,Funda,506.74,36
543,Notebook,103.18,68
544,Tablet,29.65,36
545,Notebook,350.05,76
546,Tablet,82.06,44
547,Celular,487.29,47
548,Celular,436.94,44
549,Funda,579.68,51
550,Celular,774.65,20
551,Funda,768.0,2
552,Notebook,25.5,46
553,Celular,467.23,76
554,Funda,776.13,36
555,Funda,444.57,45
556,Tablet,369.69,14
557,Tablet,269.06,24
558,Tablet,544.35,84
559,Tablet,727.7,71
560,Funda,292.14,30
561,Cargador,791.88,93
562,Funda,241.89,95
563,Tablet,198.8,11
564,Tablet,332.0,50
565,Tablet,167.31,72
566,Celular,679.93,68
567,Funda,326.48,94
568,Cargador,462.72,79
569,Celular,778.56,62
570,Cargador,153.45,48
571,Cargador,582.01,82
572,Celular,577.29,35
573,Cargador,355.24,12
574,Notebook,131.57,81
575,Celular,189.64,31
576,Notebook,268.06,70
577,Tablet,772.82,2
578,Notebook,761.36,70
579,Notebook,26.07,85
580,Cargador,555.94,25
581,Funda,466.55,24
582,Notebook,299.78,52
583,Notebook,436.84,36
584,Notebook,769.9,1
585,Notebook,519.87,89
586,Tablet,287.03,51
587,Notebook,494.35,95
588,Tablet,654.1,62
589,Cargador,72.33,41
590,Cargador,506.49,67
591,Funda,519.92,66
592,Notebook,207.03,42
593,Tablet,125.98,54
594,Notebook,682.79,52
595,Cargador,535.41,71
596,Celular,69.18,30
597,Tablet,278.02,28
598,Tablet,683.83,23
599,Notebook,287.93,9
600,Notebook,180.74,8
601,Tablet,305.63,45
602,Tablet,195.97,93
603,Cargador,415.93,45
604,Cargador,446.67,69
605,Cargador,670.55,20
606,Funda,230.4,91
607,Celular,350.44,7
608,Cargador,778.2,17
609,Notebook,409.05,63
610,Celular,599.07,39
611,Celular,52.55,61
612,Notebook,98.21,56
613,Celular,647.71,49
614,Celular,635.03,42
615,Tablet,361.22,43
616,Notebook,765.82,95
617,Tablet,746.37,85
618,Funda,353.99,89
619,Cargador,84.43,58
620,Tablet,722.14,97
621,Funda,256.62,21
622,Notebook,173.56,26
623,Notebook,242.11,22
624,Notebook,545.88,90
625,Celular,609.13,51
626,Notebook,317.56,58
627,Funda,175.21,97
628,Tablet,349.26,70
629,Funda,297.14,27
630,Notebook,746.41,3
631,Celular,267.91,31
632,Cargador,201.74,10
633,Celular,516.63,53
634,Tablet,255.08,43
635,Cargador,221.51,24
636,Tablet,546.38,22
637,Tablet,581.95,87
638,Celular,12.01,15
639,Notebook,332.06,75
640,Funda,226.28,67
641,Funda,391.17,23
642,Celular,41.55,54
643,Celular,386.67,58
644,Funda,590.96,66
645,Notebook,472.26,15
646,Notebook,52.07,91
647,Cargador,80.62,26
648,Funda,568.76,24
649,Funda,672.45,5
650,Cargador,51.26,26
651,Tablet,340.62,44
652,Notebook,121.45,93
653,Cargador,382.96,80
654,Tablet,272.52,81
655,Celular,656.83,67
656,Cargador,646.78,57
657,Cargador,467.54,65
658,Tablet,596.33,0
659,Notebook,715.23,11
660,Funda,670.73,33
661,Notebook,425.93,18
662,Tablet,419.73,60
663,Tablet,574.86,5
664,Cargador,352.45,5
665,Funda,427.1,71
666,Funda,370.54,14
667,Celular,688.4,80
668,Celular,675.0,25
669,Celular,340.48,54
670,Celular,339.85,18
671,Cargador,11.95,84
672,Funda,26.01,44
673,Tablet,147.84,58
674,Cargador,632.36,70
675,Tablet,49.84,95
676,Tablet,755.73,48
677,Funda,431.58,10
678,Tablet,115.51,90
679,Cargador,62.97,46
680,Notebook,332.31,72
681,Funda,770.52,32
682,Notebook,229.81,28
683,Funda,562.97,75
684,Tablet,509.64,3
685,Celular,714.73,52
686,Notebook,65.52,33
687,Celular,451.49,81
688,Funda,543.42,55
689,Funda,777.17,90
690,Tablet,553.13,19
691,Notebook,52.4,63
692,Tablet,797.9,11
693,Funda,711.55,3
694,Tablet,300.13,39
695,Cargador,345.29,30
696,Notebook,163.03,22
697,Celular,182.49,77
698,Tablet,435.07,62
699,Tablet,456.32,64
700,Tablet,463.01,56
701,Celular,439.47,71
702,Funda,537.63,35
703,Notebook,311.47,52
704,Celular,781.78,46
705,Notebook,207.3,8
706,Funda,650.84,80
707,Celular,271.1,60
708,Cargador,179.53,3
709,Celular,777.26,22
710,Notebook,209.26,31
711,Funda,780.58,95
712,Celular,388.78,95
713,Cargador,31.05,55
714,Tablet,344.41,10
715,Notebook,595.77,78
716,Notebook,148.93,55
717,Celular,280.15,18
718,Celular,676.59,94
719,Celular,535.86,87
720,Notebook,418.99,77
721,Cargador,489.61,15
722,Tablet,622.92,89
723,Tablet,765.66,54
724,Tablet,725.81,62
725,Cargador,138.19,74
726,Celular,779.56,50
727,Tablet,682.25,77
728,Tablet,536.76,55
729,Celular,557.97,66
730,Celular,797.32,36
731,Funda,156.63,62
732,Cargador,57.62,36
733,Tablet,513.64,13
734,Funda,758.26,65
735,Cargador,707.55,52
736,Cargador,210.74,26
737,Notebook,762.59,72
738,Celular,24.92,89
739,Tablet,652.82,92
740,Funda,152.96,91
741,Tablet,89.64,47
742,Funda,154.19,98
743,Tablet,487.72,12
744,Cargador,687.45,53
745,Cargador,146.49,42
746,Celular,666.19,16
747,Notebook,273.57,48
748,Funda,490.51,20
749,Notebook,690.08,7
750,Funda,191.34,84
751,Tablet,653.58,23
752,Cargador,573.07,76
753,Notebook,304.45,99
754,Celular,737.42,37
755,Notebook,591.47,15
756,Tablet,266.17,4
757,Celular,48.7,15
758,Celular,423.66,8
759,Celular,679.4,48
760,Cargador,715.57,36
761,Tablet,459.85,66
762,Celular,529.21,77
763,Celular,527.34,18
764,Funda,146.23,99
765,Tablet,722.57,44
766,Tablet,701.05,38
767,Notebook,589.39,11
768,Tablet,580.47,29
769,Notebook,228.86,96
770,Tablet,332.05,73
771,Celular,168.67,5
772,Tablet,629.79,93
773,Notebook,731.56,30
774,Cargador,638.02,44
775,Notebook,153.86,1
776,Notebook,157.59,38
777,Notebook,506.55,4
778,Celular,20.77,32
779,Cargador,83.67,85
780,Tablet,500.11,70
781,Cargador,347.97,60
782,Cargador,154.27,3
783,Celular,513.03,12
784,Celular,238.72,67
785,Tablet,691.57,11
786,Cargador,489.24,13
787,Cargador,374.45,28
788,Celular,463.0,3
789,Celular,648.35,97
790,Cargador,766.24,70
791,Celular,215.11,28
792,Cargador,327.06,74
793,Cargador,709.26,89
794,Cargador,222.25,15
795,Tablet,541.48,41
796,Cargador,308.3,13
797,Funda,114.51,1
798,Notebook,71.41,51
799,Tablet,566.0,76
800,Notebook,406.74,83
801,Funda,671.74,71
802,Funda,525.81,55
803,Tablet,44.1,9
804,Funda,134.16,80
805,Cargador,739.61,7
806,Celular,511.86,27
807,Cargador,469.22,44
808,Celular,175.43,5
809,Notebook,31.09,46
810,Cargador,750.11,78
811,Celular,372.58,95
812,Funda,727.83,69
813,Notebook,12.67,50
814,Tablet,474.2,64
815,Celular,595.83,87
816,Funda,334.76,60
817,Tablet,389.59,32
818,Funda,586.1,87
819,Celular,95.67,27
820,Tablet,587.0,44
821,Funda,373.1,44
822,Cargador,704.53,43
823,Cargador,542.63,24
824,Tablet,55.5,18
825,Celular,133.34,75
826,Tablet,500.8,79
827,Tablet,462.47,0
828,Tablet,152.84,54
829,Celular,100.97,46
830,Notebook,692.98,94
831,Funda,231.98,1
832,Funda,767.47,19
833,Cargador,650.03,70
834,Cargador,38.52,70
835,Celular,326.38,34
836,Notebook,12.46,62
837,Celular,151.96,9
838,Funda,375.07,4
839,Funda,110.9,62
840,Tablet,26.03,48
841,Celular,45.68,46
842,Celular,722.34,48
843,Cargador,626.34,90
844,Tablet,783.55,80
845,Funda,595.99,10
846,Cargador,338.31,70
847,Cargador,594.08,25
848,Funda,308.79,19
849,Tablet,407.97,8
850,Notebook,45.07,64
851,Celular,254.34,2
852,Notebook,782.73,72
853,Cargador,179.2,64
854,Celular,22.29,93
855,Cargador,484.02,19
856,Tablet,208.85,73
857,Cargador,594.69,66
858,Celular,203.55,31
859,Cargador,346.54,65
860,Notebook,372.59,64
861,Notebook,675.67,68
862,Funda,726.21,45
863,Notebook,513.23,91
864,Celular,120.47,93
865,Celular,443.49,22
866,Notebook,639.04,97
867,Cargador,89.77,54
868,Celular,44.75,61
869,Cargador,141.59,47
870,Funda,426.0,24
871,Tablet,372.17,23
872,Cargador,81.38,26
873,Celular,167.96,33
874,Funda,658.75,83
875,Tablet,190.23,94
876,Celular,478.65,40
877,Cargador,78.44,18
878,Tablet,742.65,14
879,Celular,564.16,38
880,Tablet,335.89,63
881,Funda,666.98,6
882,Cargador,414.43,71
883,Notebook,772.4,52
884,Celular,508.46,14
885,Celular,115.72,43
886,Cargador,319.23,79
887,Funda,757.42,83
888,Cargador,799.06,40
889,Funda,128.85,21
890,Tablet,239.46,60
891,Celular,85.21,96
892,Celular,520.81,22
893,Funda,441.75,48
894,Cargador,712.25,85
895,Notebook,562.21,71
896,Celular,625.91,95
897,Celular,379.42,37
898,Cargador,287.47,84
899,Cargador,247.77,66
900,Funda,438.19,56
901,Celular,586.38,50
902,Celular,401.86,65
903,Funda,17.9,88
904,Celular,477.37,20
905,Funda,655.43,0
906,Celular,603.15,75
907,Notebook,161.17,14
908,Notebook,290.05,93
909,Celular,407.12,26
910,Funda,444.77,71
911,Cargador,489.86,90
912,Notebook,352.09,74
913,Funda,702.81,26
914,Cargador,302.14,5
915,Funda,698.52,98
916,Funda,212.31,75
917,Tablet,798.56,67
918,Notebook,132.95,15
919,Cargador,433.94,77
920,Cargador,455.8,24
921,Celular,179.34,26
922,Cargador,166.96,56
923,Notebook,460.13,78
924,Tablet,239.59,1
925,Funda,761.6,21
926,Funda,741.95,78
927,Notebook,169.79,0
928,Cargador,371.92,90
929,Tablet,481.65,60
930,Funda,510.07,74
931,Funda,293.87,52
932,Tablet,668.12,87
933,Tablet,384.59,43
934,Cargador,358.61,63
935,Funda,103.51,28
936,Cargador,480.67,58
937,Cargador,443.48,91
938,Funda,98.66,12
939,Funda,287.09,94
940,Notebook,719.17,13
941,Celular,465.48,8
942,Cargador,635.75,69
943,Funda,324.79,26
944,Cargador,793.77,63
945,Funda,57.22,3
946,Funda,113.78,4
947,Funda,17.06,34
948,Celular,771.61,59
949,Cargador,762.3,7
950,Notebook,552.88,75
951,Funda,472.47,40
952,Celular,543.62,19
953,Celular,380.62,68
954,Funda,545.26,27
955,Tablet,593.26,87
956,Cargador,210.51,5
957,Notebook,784.63,0
958,Celular,342.4,82
959,Tablet,534.26,44
960,Celular,250.08,53
961,Tablet,229.85,54
962,Notebook,419.59,88
963,Celular,557.76,67
964,Tablet,356.36,29
965,Celular,182.8,21
966,Funda,397.82,36
967,Notebook,790.99,39
968,Funda,722.84,53
969,Notebook,698.63,63
970,Cargador,703.97,16
971,Notebook,403.59,95
972,Celular,44.59,71
973,Celular,116.86,76
974,Funda,427.81,62
975,Celular,724.34,72
976,Celular,245.54,21
977,Tablet,279.6,73
978,Notebook,318.98,18
979,Celular,485.99,82
980,Funda,201.8,54
981,Celular,546.69,74
982,Cargador,73.58,73
983,Tablet,129.25,3
984,Celular,739.68,30
985,Funda,282.56,78
986,Celular,622.98,69
987,Cargador,193.01,98
988,Funda,765.25,96
989,Tablet,82.28,16
990,Celular,71.24,32
991,Notebook,638.88,48
992,Cargador,387.19,17
993,Celular,27.25,23
994,Tablet,247.42,75
995,Notebook,216.21,93
996,Notebook,658.83,91
997,Notebook,564.56,64
998,Funda,339.03,88
999,Funda,686.87,63
1000,Celular,360.51,70
1001,Notebook,53.84,59
1002,Celular,689.16,95
1003,Tablet,25.12,27
1004,Celular,323.52,54
1005,Cargador,576.5,35
1006,Celular,336.69,29
1007,Celular,719.51,28
1008,Notebook,602.29,32
1009,Notebook,455.82,53
1010,Tablet,637.01,97
1011,Funda,149.45,77
1012,Cargador,83.58,80
1013,Cargador,726.81,76
1014,Tablet,523.96,83
1015,Celular,762.5,3
1016,Cargador,322.04,88
1017,Celular,103.51,69
1018,Funda,556.21,57
1019,Funda,57.45,88
1020,Cargador,300.23,80
1021,Celular,358.38,47
1022,Tablet,424.82,18
1023,Cargador,583.37,34
1024,Notebook,415.66,69
1025,Funda,612.97,76
1026,Cargador,578.37,84
1027,Notebook,483.25,32
1028,Celular,755.05,26
1029,Celular,78.37,0
1030,Tablet,207.32,74
1031,Tablet,251.11,19
1032,Funda,754.53,44
1033,Cargador,498.92,28
1034,Celular,480.13,3
1035,Tablet,156.66,52
1036,Tablet,34.69,92
1037,Notebook,191.37,57
1038,Cargador,549.56,8
1039,Tablet,397.44,61
1040,Cargador,440.05,10
1041,Cargador,548.42,19
1042,Tablet,795.64,27
1043,Cargador,280.81,98
1044,Cargador,198.59,6
1045,Notebook,388.49,35
1046,Celular,775.33,53
1047,Funda,737.2,8
1048,Tablet,137.06,21
1049,Notebook,678.69,86
1050,Tablet,352.12,30
1051,Celular,362.14,95
1052,Notebook,491.17,68
1053,Cargador,203.73,12
1054,Cargador,438.52,51
1055,Cargador,702.22,22
1056,Tablet,412.29,20
1057,Notebook,455.89,93
1058,Celular,629.9,32
1059,Celular,517.89,90
1060,Cargador,543.44,95
1061,Celular,64.77,1
1062,Cargador,714.57,37
1063,Notebook,295.66,24
1064,Celular,603.43,82
1065,Celular,346.92,0
1066,Notebook,105.37,6
1067,Funda,641.23,67
1068,Celular,79.08,81
1069,Notebook,773.55,4
1070,Celular,661.98,12
1071,Cargador,779.94,14
1072,Cargador,607.45,58
1073,Notebook,420.92,4
1074,Celular,546.84,84
1075,Funda,673.66,93
1076,Notebook,403.4,49
1077,Notebook,323.75,21
1078,Celular,493.1,40
1079,Tablet,124.52,81
1080,Celular,380.18,17
1081,Funda,62.95,66
1082,Celular,293.7,53
1083,Notebook,199.64,46
1084,Cargador,153.52,32
1085,Funda,707.3,8
1086,Notebook,257.44,32
1087,Celular,188.71,74
1088,Tablet,751.44,31
1089,Notebook,98.94,59
1090,Tablet,686.1,49
1091,Funda,743.68,11
1092,Notebook,449.3,11
1093,Cargador,169.87,54
1094,Tablet,136.2,8
1095,Funda,313.42,9
1096,Celular,780.57,72
1097,Funda,407.36,89
1098,Tablet,477.25,95
1099,Notebook,412.03,72
1100,Tablet,225.56,47
1101,Celular,527.72,73
1102,Cargador,417.58,76
